Título,Fecha,Contenido,Etiquetas,Número de Comentarios,Enlace
UNE: Se trabaja en la interconexión del sistema electroenergético nacional,2022-09-28 08:52:00,"Central termoeléctrica Antonio Guiteras. Foto: Archivo/ Cubadebate. A las 17:24 del día 27 de septiembre ocurrió en la zona de Matanzas un disparo por condiciones climatológicas de una de las dos líneas de transmisión Guiteras 220 kV-Matanzas 200 kV como consecuencia de un cable protector partido. Ante esta condición, se realizaron acciones para reducir la transferencia de potencia hacia la zona centro oriental. Posteriormente, a las 17:52 horas, ocurrió el disparo de la otra línea de transmisión Guiteras 220 kV-Matanzas 220 kV provocando que el SEN quedara enlazado por la línea de transmisión Cotorro 220 kV- Matanzas 220 kV, la cual, de manera inmediata, salió de servicio al no soportar las transferencia de potencia. Esta situación provocó un desbalance de potencia por el exceso de generación en la zona occidental y el déficit de generación en la zona centro-oriental , que causó un fenómeno de inestabilidad en la frecuencia en ambas zonas y, por consiguiente, la caída total del SEN. En el momento de las averías estaban sin servicio 835 MW debido a los daños generados por el huracán Ian en las provincias desde Pinar del Río hasta Mayabeque, y se operaba con altos niveles de transferencia entre la zona occidental y la zona centro oriental. De inmediato, se comenzaron los trabajos de restauración del SEN, que se ejecutan hasta el momento de emisión de la presente nota, consistentes en la conformación de microsistemas aislados con los grupos electrógenos de la generación distribuida, que han permitido brindar servicio eléctrico a parte de los consumidores en las provincias de La Habana (25 circuitos pertenecientes a Centro Habana, Habana Vieja, Habana del Este, Cotorro), Matanzas, Cienfuegos, Villa Clara, Santi Spíritus, Ciego de Ávila, Camagüey, Las Tunas, Holguín, Granma, Santiago de Cuba y Guantánamo, y entregar energía a las termoeléctricas Ernesto Guevara, Antonio Guiteras, Diez de Octubre y Lidio Ramón Pérez, que ya sincronizó al SEN. Los trabajos continúan hasta el total restablecimiento del SEN. Hasta el momento se han recuperado 224 MW. Se encuentran en proceso de arranque la unidad 2 de la CTE Ernesto Guevara, la CTE Antonio Guiteras, la unidad 3 de la CTE Carlos Manuel de Céspedes y la unidad 5 de la CTE Diez de Octubre. Se mantendrá el proceso de conformación de microsistemas para la posterior sincronización del resto de las unidades generadoras que estén en condiciones de sincronizar al sistema eléctrico. La Unión Eléctrica informó que se acometen labores de certificación de las líneas de 110 kV para, cuando el sistema eléctrico nacional lo permita, energizar esas líneas de transmisión y, posteriormente, ejecutar esa acción en las subestaciones de 110 kV. Según una actualización de la UNE, se han encontrado cinco fallas en las que van de la subestación de Mariel a Bahía Honda. No hay afectaciones en las que alimentan la Zona Especial de Desarrollo Mariel (ZEDM). “Posteriormente, certificaremos Artemisa-San Cristóbal y los circuitos que enlazan la provincia con la ciudad de La Habana. Estas líneas alimentan las seis subestaciones de 110 kV del territorio artemiseño: Guanajay, Artemisa, Bahía Honda, San Cristóbal, ZEDM y Ariguanabo (en este último caso provienen de Mayabeque)”, precisó la UNE. La provincia cuenta con 36 circuitos de 33 kV (líneas de subtransmisión), de los cuales, hasta las 10:30 a.m., se habían certificado dos: el 1580 (que alimenta a Alquízar) y el 241 de Bahía Honda. Ambos presentan varias averías, incluidos postes en el piso, conductores partidos y árboles sobre las líneas. “Parcialmente, hemos certificado ocho circuitos de 33 kV, encontrándose los mismos problemas. Se continúa trabajando en los demás municipios”, agregó la UNE. A la vez, señaló que “tenemos personal recorriendo la alimentación primaria en los 11 municipios, que es la que da servicio a los clientes. En este caso, aún no tenemos precisiones de los daños porque no se han concluido las correspondientes certificaciones”. La Central Termoeléctrica Antonio Guiteras, de Matanzas, está en proceso de arranque para sincronizar al sistema electroenergético nacional (SEN) en la tarde de este miércoles. La caldera encendió sobre las 9:40 de la mañana y el proceso tarda entre seis y ocho horas, generalmente. Para alrededor de las tres de la tarde de este 28 de septiembre estaba previsto iniciar la sincronización al SEN e ir incrementando la carga paulatinamente, explicó a TV Yumurí Javier Quirós Pérez, jefe de planta. “Contamos con las reservas, insumos y personal calificado necesarios para lograr este objetivo. En un primer momento, aportaremos energía a la zona central del país, debido a que el SEN aún no se restablece en su totalidad y se encuentra dividido en tres regiones, luego de la apertura ocurrida en la tarde del martes”,  dijo. Operadores, técnicos y especialistas trabajan para retomar la generación de unos 230 MW desde el principal bloque unitario del país, señaló TV Yumurí. Compartir en Facebook Compartir en Twitter Compartir en WhatsApp Compartir en Telegram Noticias Economía Recibe Díaz-Canel al primer ministro de San Cristóbal y Nieves Terrance Drew 23 mayo 2025 | + | Cuba honra con duelo oficial al exmandatario vietnamita Tran Duc Luong 22 mayo 2025 | + | Ministro de salud cubano concluye intensa y productiva participación en la Asamblea Mundial de Salud 22 mayo 2025 | + | Tornado en Alquízar provoca daños en viviendas y servicios eléctricos 22 mayo 2025 | + | Las reglas de Rodo: La magia de lo diferente 22 mayo 2025 | 1 | ir aNoticias » Controlan derrame de residuos en antigua termoeléctrica José Martí 22 mayo 2025 | ¿Sabes cómo modificar la contraseña de pago en Enzona? 22 mayo 2025 | 11 | La Unión Eléctrica estima una afectación de 1 570 MW en el horario pico nocturno 22 mayo 2025 | 17 | Inauguran nuevo parque solar en Cienfuegos 21 mayo 2025 | 6 | Se recuperarán más de 500 MW en los próximos meses; el martes se inicia distribución de gas licuado en el país (+ Video e infografías) 21 mayo 2025 | 121 | ir aEconomía »","Apagones, Cuba, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Sistema Eléctrico Nacional (SEN), Unión Eléctrica (UNE)",169,http://www.cubadebate.cu/noticias/2022/09/28/une-se-trabaja-en-la-interconexion-del-sistema-electroenergetico-nacional/
UNE informa avería en el sistema eléctrico nacional: Se trabaja en restablecimiento,2022-09-27 20:16:00,"Lázaro Guerra Hernández, Director Técnico de la Unión Eléctrica de Cuba, informa una avería en el sistema eléctrico nacional, provocando cero generación eléctrica. La falla está dada en los enlaces occidente, centro y oriente, es un proceso complejo que para restablecerlo se debe trabajará con precisión. Esta condición complicada, también se asocia a las afectaciones climatológicas complejas que han afectado la infraestructura del SEN. En estos momentos se trabaja de forma continua en la reconexión del sistema, los trabajos se extenderán durante la noche de hoy martes y la madrugada de mañana miércoles. En la zona occidental de país, existen un grupo de líneas de transmisión fuera de servicio. (Nota en construcción)","Ciclón, Cuba, Desastres Naturales, Electricidad, Gobierno, Huracán, Huracán Ian, Ministerio de Energía y Minas (MINEM), Unión Eléctrica (UNE)",104,http://www.cubadebate.cu/noticias/2022/09/27/une-informa-averia-en-el-sistema-electrico-nacional-se-trabaja-en-restablecimiento/
Unión Eléctrica pronostica una afectación de 409 MW en el horario pico,2022-09-27 08:55:00,"De acuerdo con la nota informativa enviada por la Unión Electrica, la situación del SEN (Sistema Electroenergético Nacional)para el 27 de septiembre de 2022 es la siguiente: En el día de ayer se afectó el servicio por déficit de capacidad de generación a partir de las 08:05 horas hasta las 23:56 horas de la noche. La máxima afectación en el horario pico fue 700 MW a las 18:00 horas, coincidiendo con la hora pico. La disponibilidad del SEN a las 07:00 horas es el de 1900 MW y la demanda 1845 MW, con 242 MW afectados por el azote del Huracán Ian en la zona occidental. Se estima una afectación máxima por déficit de capacidad de 150 MW en el horario diurno. Se encuentran fuera de servicio por averías las unidades 6 y 7 de la CTE Mariel, la unidad de la CTE Otto Parellada, la unidad 1 de la CTE Santa Cruz, las unidades 4 y 5 de la CTE Nuevitas, la unidad 2 de la CTE Felton y la unidad 4 de la CTE Rente. Se encuentra en mantenimiento la unidad 3 de la CTE Rente. Se mantienen las limitaciones en la generación térmica (429 MW). En la generación distribuida, están indisponibles por avería 1 065 MW y en mantenimiento 674 MW. Para el horario pico, se pronostica la entrada de la unidad 5 de la CTE Diez de Octubre con 100 MW y la utilización de 211 MW en motores diésel. Con este pronóstico, se estima para la hora pico una disponibilidad de 2281 MW y una demanda máxima de 2620 MW, para un déficit de 339 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación por déficit de capacidad de generación de 409 MW en este horario. Se implementan todas las medidas de restricción del consumo en el sector estatal.","Apagones, Cuba, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Santa Cruz, Sistema Eléctrico Nacional (SEN), Termoeléctrica, Unión Eléctrica (UNE)",6,http://www.cubadebate.cu/noticias/2022/09/27/nota-informativa-2/
Unión Eléctrica pronostica una afectación de 573 MW en el horario pico,2022-09-26 07:58:00,"La Unión Eléctrica informa que “la disponibilidad del SEN a las 07:00 horas es de 2 080 MW y la demanda de 2 010 MW, con todo el sistema con servicio”, y que, a partir de las 08:00 horas, se estima comience la afectación con un máximo de 300 MW en el horario diurno. Para la hora pico se prevé una disponibilidad de 2 347 MW y una demanda máxima de 2 850 MW, para un déficit de 503 MW, por lo que de mantenerse esas condiciones se pronostica una afectación de 573 MW. Para este horario se pronostica la entrada de la unidad 5 de la CTE Mariel con 70 MW y la utilización de 130 MW en motores diésel. Se encuentran fuera de servicio por averías las unidades 5, 6 y 7 de la CTE Mariel, la unidad de la CTE Otto Parellada, las unidades 4 y 5 de la CTE Nuevitas, la unidad 2 de la CTE Felton y la unidad 4 de la CTE Rente. Se encuentra en mantenimiento la unidad 3 de la CTE Rente; se mantienen las limitaciones en la generación térmica (410 MW), y en la generación distribuida, están indisponibles por avería 1 096 MW y en mantenimiento 668 MW. En el día de ayer, indica la UNE, se afectó el servicio por déficit de capacidad de generación entre las 11:05 y las 13:25 horas y en el horario pico a partir de las 16:06 horas. La máxima afectación en el horario de la noche fue 413 MW a las 20:10 horas, coincidiendo con la hora pico. “A las 00:23 horas de la madrugada de hoy quedó restablecido el servicio por déficit de capacidad en el sistema”, puntualiza la empresa. La UNE reitera que se implementan todas las medidas de restricción del consumo en el sector estatal.","Apagón, Cuba, Economía, Economía Sociedad, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Unión Eléctrica (UNE)",5,http://www.cubadebate.cu/noticias/2022/09/26/union-electrica-pronostica-una-afectacion-de-573-mw-en-el-horario-pico/
Unión Eléctrica pronostica una afectación de 508 MW en el pico nocturno,2022-09-25 08:32:00,"Este sábado se afectó el servicio por déficit de capacidad de generación las 24 horas del día. La máxima afectación en el horario de la noche fue 600 MW a las 20:00 horas, coincidiendo con la hora pico. A las 02:37 horas de la madrugada de este domingo quedó restablecido el servicio por déficit de capacidad en el sistema , la disponibilidad del SEN a las 07:00 horas es de 2 167 MW y la demanda de 2 100 MW, con todo el sistema con servicio. Se estima que se comience afectar el servicio a las 09:00 horas. Se estima una afectación máxima de 250 MW en el horario diurno. Se encuentran fuera de servicio por averías las unidades 6 y 7 de la CTE Mariel, la unidad de la CTE Otto Parellada, las unidades 4 y 5 de la CTE Nuevitas y la unidad 2 de la CTE Felton. Se encuentra en mantenimiento la unidad 3 de la CTE Rente. Se mantienen las limitaciones en la generación térmica (474 MW). En la generación distribuida, están indisponibles por avería 1 085 MW y en mantenimiento 615 MW. Para el horario pico, se pronostica la utilización de 208 MW en motores diésel. Con este pronóstico, se estima para la hora pico una disponibilidad de 2 462 MW y una demanda máxima de 2 900 MW, para un déficit de 438 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 508 MW en este horario. Se implementan todas las medidas de restricción del consumo en el sector estatal.","Apagón, Cuba, Economía Sociedad, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Unión Eléctrica (UNE)",9,http://www.cubadebate.cu/noticias/2022/09/25/union-electrica-pronostica-una-afectacion-de-508-mw-en-el-pico-nocturno/
Se mantiene el alto déficit en capacidad de generación: Unión Eléctrica estima una afectación de 828 MW en horario pico,2022-09-24 08:20:00,"La Unión Eléctrica informó que en el día de ayer se afectó el servicio por déficit de capacidad de generación las 24 horas del día. La máxima afectación en el horario de la noche fue 1104 MW a las 20:30 horas, coincidiendo con la hora pico. Se estima una afectación máxima de 550 MW en el horario diurno. Se encuentran fuera de servicio por averías las unidades 6 y 7 de la CTE Mariel, la unidad de la CTE Otto Parellada, la unidad 3 de la CTE Santa Cruz, la CTE Guiteras, la unidad 4 de la CTE Nuevitas y la unidad 2 de la CTE Felton. Se encuentra en mantenimiento la unidad 3 de la CTE Rente. Se mantienen las limitaciones en la generación térmica (359 MW). En la generación distribuida, están indisponibles por avería 1 088 MW y en mantenimiento 614 MW. Para el horario pico, se pronostica la entrada de la unidad de la CTE Guiteras con 220 MW (en proceso de arranque) y la utilización de 85 MW en motores diésel. Con este pronóstico, se estima para la hora pico una disponibilidad de 2392 MW y una demanda máxima de 3150 MW, para un déficit de 758 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 828 MW en este horario. Se implementan todas las medidas de restricción del consumo en el sector estatal. Termoeléctrica Antonio Guiteras, de Matanzas. Foto: Roberto Jesús Hernández / Archivo. La Unión Eléctrica informó en su perfil de Facebook que este sábado sincronizó al Sistema Eléctrico Nacional la Termoeléctrica Antonio Guiteras. En estos momentos se encuentra subiendo su carga hasta alcanzar sus 220 MW, señaló el comunicado. La disponibilidad del sistema es de 2190 MW con una demanda de 2605 MW y un déficit en capacidad de generación de 473 MW, refiere la nota. (Con información de la UNE) Compartir en Facebook Compartir en Twitter Compartir en WhatsApp Compartir en Telegram Noticias Sociedad Recibe Díaz-Canel al primer ministro de San Cristóbal y Nieves Terrance Drew 23 mayo 2025 | + | Cuba honra con duelo oficial al exmandatario vietnamita Tran Duc Luong 22 mayo 2025 | + | Ministro de salud cubano concluye intensa y productiva participación en la Asamblea Mundial de Salud 22 mayo 2025 | + | Tornado en Alquízar provoca daños en viviendas y servicios eléctricos 22 mayo 2025 | + | Las reglas de Rodo: La magia de lo diferente 22 mayo 2025 | 1 | ir aNoticias » La mentira cazada: La Mesa Redonda y el “apagón de 72 horas” 22 mayo 2025 | + Tornado en Alquízar provoca daños en viviendas y servicios eléctricos 22 mayo 2025 | + | Díaz-Canel con jóvenes en Dos Ríos: Honrar, honra (+ Video) 22 mayo 2025 | + | El relato del lector: Día de África 22 mayo 2025 | 1 | Sabor y tradición: Arroz tapado, arroz tapado a lo pobre y arroz amarillo a la milanesa 22 mayo 2025 | 1 | ir aSociedad »","Apagones, Cuba, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Termoeléctrica, Unión Eléctrica (UNE)",38,http://www.cubadebate.cu/noticias/2022/09/24/se-mantiene-el-alto-deficit-en-capacidad-de-generacion-union-electrica-estima-una-afectacion-de-828-mw-en-horario-pico/
Unión Eléctrica pronostica afectación de 1 133 MW en el pico nocturno por déficit en capacidad de generación,2022-09-23 08:51:00,"En el día de ayer jueves se afectó el servicio por déficit de capacidad de generación las 24 horas del día. La máxima afectación en el horario de la noche fue 1 311 MW a las 19:40 horas, coincidiendo con la hora pico. Se estima una afectación máxima de 950 MW en el horario diurno. Se encuentran fuera de servicio por averías las unidades 6 y 7 de la CTE Mariel, la unidad de la CTE Otto Parellada, la unidad 3 de la CTE Santa Cruz, la CTE Guiteras, la unidad 4 de la CTE Nuevitas, la unidad 2 de la CTE Felton y la unidad 4 de la CTE Rente. Se encuentra en mantenimiento la unidad 3 de la CTE Rente. Se mantienen las limitaciones en la generación térmica (299 MW). En la generación distribuida, están indisponibles por avería 1 130MW y en mantenimiento 624 MW. Para el horario pico, se pronostica la utilización de 110 MW en motores diésel. Con este pronóstico, se estima para la hora pico una disponibilidad de 2 187 MW y una demanda máxima de 3 250 MW, para un déficit de 1 063 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 1 133 MW en este horario. Se implementan todas las medidas de restricción del consumo en el sector estatal.","Apagones, Cuba, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Termoeléctrica, Unión Eléctrica (UNE)",52,http://www.cubadebate.cu/noticias/2022/09/23/union-electrica-pronostica-afectacion-de-1-133-mw-en-el-pico-nocturno-por-deficit-en-capacidad-de-generacion/
La Unión Eléctrica pronostica una afectación de 1 052 MW para el horario pico de este miércoles,2022-09-21 08:35:00,"La Unión Eléctrica pronostica para el horario pico de este miércoles una disponibilidad de 2 118 MW y una demanda máxima de 3 100 MW, para un déficit de 982 MW, por lo que de mantenerse las condiciones previstas, se pronostica una afectación de 1052 MW en este horario , informó el organismo en nota informativa. Para el horario diurno, mientras tanto, estima una afectación máxima de 850 MW. Se encuentran fuera de servicio por averías las unidades 6, 7 y 8 de la CTE Mariel, la unidad de la CTE Otto Parellada, la unidad 3 de la CTE Santa Cruz, la CTE Guiteras, la unidad 4 de la CTE Nuevitas y la unidad 2 de la CTE Felton.Se encuentra en mantenimiento la unidad 3 de la CTE Renté. Se mantienen las limitaciones en la generación térmica (336 MW). En la generación distribuida, están indisponibles por avería 1 132 MW y en mantenimiento 628 MW. Para el horario pico, se pronostica la entrada de la unidad 3 de la CTE Santa Cruz con 65 MW y la utilización de 96 MW en motores diésel. En la jornada de ayer se afectó el servicio por déficit de capacidad de generación las 24 horas del día. La máxima afectación en el horario de la noche fue 1 026 MW, a las 20:00 horas. Se implementan todas las medidas de restricción del consumo en el sector estatal.","Apagones, Cuba, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Termoeléctrica, Unión Eléctrica (UNE)",72,http://www.cubadebate.cu/noticias/2022/09/21/la-union-electrica-pronostica-una-afectacion-de-1-052-mw-para-el-horario-pico-de-este-miercoles/
Unión Eléctrica estima una afectación máxima de 700 MW en el horario diurno,2022-09-20 08:31:00,"En el día de ayer se afectó el servicio por déficit de capacidad de generación las 24 horas del día. La máxima afectación en el horario de la noche fue 1091 MW a las 20:50 horas, coincidiendo con la hora pico. Se estima una afectación máxima de 700 MW en el horario diurno. Se encuentran fuera de servicio por averías las unidades 6 y 7 de la CTE Mariel, la unidad de la CTE Otto Parellada, la CTE Guiteras, la unidad 4 de la CTE Nuevitas, la unidad 2 de la CTE Felton y la unidad 6 de la CTE Renté. Se encuentra en mantenimiento la unidad 3 de la CTE Rente. Se mantienen las limitaciones en la generación térmica (324 MW). En la generación distribuida, están indisponibles por avería 1 100 MW y en mantenimiento 626 MW. Para el horario pico, se pronostica la entrada de la unidad 6 de la CTE Rente con 50 MW y la utilización de 100 MW en motores diésel. Con este pronóstico, se estima para la hora pico una disponibilidad de 2221 MW y una demanda máxima de 3100 MW, para un déficit de 879 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 949 MW en este horario. Se implementan todas las medidas de restricción del consumo en el sector estatal. (Con información de la Unión Eléctrica) Compartir en Facebook Compartir en Twitter Compartir en WhatsApp Compartir en Telegram Noticias Economía Recibe Díaz-Canel al primer ministro de San Cristóbal y Nieves Terrance Drew 23 mayo 2025 | + | Cuba honra con duelo oficial al exmandatario vietnamita Tran Duc Luong 22 mayo 2025 | + | Ministro de salud cubano concluye intensa y productiva participación en la Asamblea Mundial de Salud 22 mayo 2025 | + | Tornado en Alquízar provoca daños en viviendas y servicios eléctricos 22 mayo 2025 | + | Las reglas de Rodo: La magia de lo diferente 22 mayo 2025 | 1 | ir aNoticias » Controlan derrame de residuos en antigua termoeléctrica José Martí 22 mayo 2025 | ¿Sabes cómo modificar la contraseña de pago en Enzona? 22 mayo 2025 | 11 | La Unión Eléctrica estima una afectación de 1 570 MW en el horario pico nocturno 22 mayo 2025 | 17 | Inauguran nuevo parque solar en Cienfuegos 21 mayo 2025 | 6 | Se recuperarán más de 500 MW en los próximos meses; el martes se inicia distribución de gas licuado en el país (+ Video e infografías) 21 mayo 2025 | 121 | ir aEconomía »","Cuba, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Sistema Eléctrico Nacional (SEN), Unión Eléctrica (UNE)",69,http://www.cubadebate.cu/noticias/2022/09/20/union-electrica-estima-una-afectacion-maxima-de-700-mw-en-el-horario-diurno/
La Unión Eléctrica pronostica una afectación superior a los 800 MW en el horario diurno,2022-09-17 08:24:00,"La Unión Eléctrica informa que en este viernes se afectó el servicio por déficit de capacidad de generación durante las 24 horas de día. La máxima afectación en el horario de la noche fue 1155 MW a las 20:20 horas. Se estima una afectación máxima de 850 MW en el horario diurno. Se encuentran fuera de servicio por averías las unidades 6 y 7 de la CTE Mariel, la unidad de la CTE Otto Parellada, la unidad 1 de la CTE Santa Cruz, la CTE Guiteras, las unidades 4 y 5 de la CTE Nuevitas y la unidad 2 de la CTE Felton. Se encuentra en mantenimiento la unidad 3 de la CTE Rente. Se mantienen las limitaciones en la generación térmica (322 MW). En la generación distribuida, están indisponibles por avería 1 059 MW y en mantenimiento 605 MW. Para el horario pico, se pronostica la entrada de la CTE Guiteras con 220 MW, la entrada de la unidad 1 de la CTE Santa Cruz con 65 MW y la utilización de 95 MW en motores diésel. Con este pronóstico, se estima para la hora pico una disponibilidad de 2405 MW y una demanda máxima de 3100 MW, para un déficit de 695 MW , por lo que de mantenerse las condiciones previstas se pronostica una afectación de 765 MW en este horario. Se implementan todas las medidas de restricción del consumo en el sector estatal. (Con información de la UNE)","Apagón, Cuba, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Sociedad, Unión Eléctrica (UNE)",43,http://www.cubadebate.cu/noticias/2022/09/17/la-union-electrica-pronostica-una-afectacion-superior-a-los-800-mw-en-el-horario-diurno/
UNE pronostica una afectación de 885 MW durante el horario pico de este jueves,2022-09-15 08:57:00,"Central termoeléctrica Antonio Guiteras. Foto: Archivo/ Cubadebate. La Unión Eléctrica estima para la hora pico de este jueves una disponibilidad de 2 165 MW y una demanda máxima de 2 980 MW, con un déficit de 815 MW. Si se mantienen los pronósticos, se prevé una afectación de 885 MW durante el pico. Asimismo, se estima una afectación máxima de 750 MW en el horario diurno. Se encuentran fuera de servicio por averías las unidades 6 y 7 de la termoeléctrica Mariel, la unidad de la Otto Parellada, la 1 de la Santa Cruz, la Guiteras, la 4 de la Nuevitas y la 2 de la Felton. La UNE reporta que se encuentra en mantenimiento la unidad 3 de la termoeléctrica Renté. Las limitaciones en la generación térmica son de 341 MW. En la generación distribuida no están disponibles 1 114 MW por avería y 601 MW por mantenimiento. Para el horario pico se pronostica la utilización de 100 MW en motores diésel. El miércoles se reportaron afectaciones en el servicio por déficit de capacidad de generación durante las 24 horas de día. La máxima afectación durante la noche fue 975 MW a las 7:10 p.m.","Apagón, Cuba, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Termoeléctrica, Unión Eléctrica (UNE)",16,http://www.cubadebate.cu/noticias/2022/09/15/une-pronostica-una-afectacion-de-885-mw-durante-el-horario-pico-de-este-jueves/
Unión Eléctrica pronostica una afectación máxima de 874 MW en el horario pico,2022-09-14 10:42:00,"La Unión Eléctrica pronostica para este miércoles una afectación máxima de 800 MW en el horario diurno y de 874 MW en el horario pico, debido al déficit capacidad de generación. De acuerdo con el reporte diario de la empresa, se encuentran fuera de servicio por averías las unidades 6 y 7 de la CTE Mariel, la unidad de la CTE Otto Parellada, la unidad 3 de la CTE Santa Cruz, la CTE Guiteras , las unidades 4 y 6 de la CTE Nuevitas y la unidad 2 de la CTE Felton. En tanto, está en mantenimiento la unidad 3 de la CTE Rente; se mantienen las limitaciones en la generación térmica (330 MW) y en la generación distribuida están indisponibles por avería 1 101 MW y en mantenimiento 514 MW. La UNE informa que para el horario pico se pronostica la entrada de la unidad 3 de la CTE Santa Cruz con 60 MW, la entrada de la unidad 6 de la CTE Diez de Octubre con 100 MW (en proceso de arranque) y la utilización de 127 MW en motores diésel. “Con este pronóstico, se estima para la hora pico una disponibilidad de 2 196 MW y una demanda máxima de 3 000 MW, para un déficit de 804 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 874 MW en este horario”. En el día de ayer se afectó el servicio por déficit de capacidad de generación durante las 24 horas de día. La máxima afectación en el horario de la noche fue 1 004 MW a las 19:10 horas, coincidiendo con la hora pico. La empresa reitera que se implementan todas las medidas de restricción del consumo en el sector estatal. Termoeléctrica Antonio Guiteras, de Matanzas. Foto: Roberto Jesús Hernández / Archivo. La Unión Eléctrica informó que en la madrugada de este miércoles concluyó el enfriamiento de caldera en la termoeléctrica Antonio Guiteras y se detectó un tubo averiado. “En estos momentos se trabaja en la reparación del área afectada. A continuación se realizará prueba hidráulica y posteriormente se dará a solución a los defectos que salgan”, precisó la empresa al referirse a los trabajos en esa termoeléctrica que salió hace dos días del Sistema Eléctrico Nacional debido a una ponchadura en caldera. La UNE anunció que la unidad arrancará el próximo sábado, para lo cual se terminan también las acciones de mantenimiento que paralelamente se realizan. La unidad 6 de la CTE Diez de Octubre (Nuevitas) sincronizó al Sistema Eléctrico Nacional y se encuentra subiendo su carga hasta alcanzar 100 MW, informó la UNE. Este miércoles también sincronizó al Sistema Eléctrico Nacional la unidad 3 de la termoeléctrica Ernesto Guevara de Santa Cruz, aportando al sistema 63 MW. #UltimoMinuto ⚠️ informa @OSDE_UNE ✅️Sincronizó al Sistema Eléctrico Nacional la Unidad No 3 de la Termoeléctrica Ernesto Guevara, de Santa Cruz, aportando al sistema 63 MW pic.twitter.com/lKwmYpr17P — Ministerio de Energía y Minas de Cuba (@EnergiaMinasCub) September 14, 2022 En video, situación de la principal CTE de Cuba Vea además: Cuba en Datos: Apuntes necesarios sobre las termoeléctricas que debes conocer Compartir en Facebook Compartir en Twitter Compartir en WhatsApp Compartir en Telegram Noticias Economía Recibe Díaz-Canel al primer ministro de San Cristóbal y Nieves Terrance Drew 23 mayo 2025 | + | Cuba honra con duelo oficial al exmandatario vietnamita Tran Duc Luong 22 mayo 2025 | + | Ministro de salud cubano concluye intensa y productiva participación en la Asamblea Mundial de Salud 22 mayo 2025 | + | Tornado en Alquízar provoca daños en viviendas y servicios eléctricos 22 mayo 2025 | + | Las reglas de Rodo: La magia de lo diferente 22 mayo 2025 | 1 | ir aNoticias » Controlan derrame de residuos en antigua termoeléctrica José Martí 22 mayo 2025 | ¿Sabes cómo modificar la contraseña de pago en Enzona? 22 mayo 2025 | 11 | La Unión Eléctrica estima una afectación de 1 570 MW en el horario pico nocturno 22 mayo 2025 | 17 | Inauguran nuevo parque solar en Cienfuegos 21 mayo 2025 | 6 | Se recuperarán más de 500 MW en los próximos meses; el martes se inicia distribución de gas licuado en el país (+ Video e infografías) 21 mayo 2025 | 121 | ir aEconomía »","Cuba, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Servicios, Termoeléctrica, Unión Eléctrica (UNE)",17,http://www.cubadebate.cu/noticias/2022/09/14/union-electrica-pronostica-una-afectacion-maxima-de-874-mw-en-el-horario-pico/
Unión Eléctrica estima una afectación máxima de 964 MW en el horario pico,2022-09-13 08:30:00,"En el día de ayer se afectó el servicio por déficit de capacidad de generación durante las 24 horas de día. La máxima afectación en el horario de la noche fue 1023 MW a las 20:50 horas, coincidiendo con la hora pico. Se estima una afectación máxima de 850 MW en el horario diurno. Se encuentran fuera de servicio por averías las unidades 6 y 7 de la CTE Mariel, la unidad de la CTE Otto Parellada, la CTE Guiteras, las unidades 4 y 6 de la CTE Nuevitas y la unidad 2 de la CTE Felton. Se encuentra en mantenimiento la unidad 3 de la CTE Rente. Se mantienen las limitaciones en la generación térmica (357 MW). En la generación distribuida, están indisponibles por avería 1 134 MW y en mantenimiento 504 MW. Para el horario pico, se pronostica la utilización de 136 MW en motores diésel. Con este pronóstico, se estima para la hora pico una disponibilidad de 2206 MW y una demanda máxima de 3100 MW, para un déficit de 894 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 964 MW en este horario. Se implementan todas las medidas de restricción del consumo en el sector estatal. (Con información de la Unión Eléctrica) Vea además: Termoeléctrica Antonio Guiteras sale del Sistema Eléctrico Nacional","Cuba, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Servicios, Termoeléctrica, Unión Eléctrica (UNE)",65,http://www.cubadebate.cu/noticias/2022/09/13/union-electrica-estima-una-afectacion-maxima-de-964-mw-en-el-horario-pico/
